upm,viv_sel,hogar,n_ren,p3_1,p3_2,p3_3,niv,gra,p3_5,p3_6,p3_7,p3_8a,p3_8b,p3_9,p3_10_1,p3_10_2,p3_10_3,p3_10_4,p3_10_5,p3_11,p3_12,p4_1,p4_2,p4_3,p4_4_1,p4_4_2,p4_4_3,p4_4_4,p4_4_5,p4_4_6,p4_4_7,p4_5,p4_6_1,p4_6_2,p4_6_3,p4_6_4,p4_6_5,p4_6_6,p4_7,p4_8_1,p4_8_2,p4_8_3,p4_8_4,p4_9_1,p4_9_2,p4_9_3,p5_1_1,p5_1_2,p5_1_3,p5_1_4,p5_1_5,p5_1_6,p5_2_1,p5_2_2,p5_2_3,p5_2_4,p5_2_5,p5_2_6,p5_2_7,p5_2_8,p5_2_9,p5_3,p5_4,p5_5,p5_6,p5_7,p5_8,p5_9_1,p5_10_1,p5_11_1,p5_12_1,p5_13_1,p5_9_2,p5_10_2,p5_11_2,p5_12_2,p5_13_2,p5_9_3,p5_10_3,p5_11_3,p5_12_3,p5_13_3,p5_9_4,p5_10_4,p5_11_4,p5_12_4,p5_13_4,p5_9_5,p5_10_5,p5_11_5,p5_12_5,p5_13_5,p5_9_6,p5_10_6,p5_11_6,p5_13_6,p5_9_7,p5_10_7,p5_11_7,p5_13_7,p5_9_8,p5_10_8,p5_11_8,p5_13_8,p5_14_1,p5_14_2,p5_14_3,p5_14_4,p5_14_5,p5_14_6,p5_14_7,p5_14_8,p5_14_9,p5_15,p5_16,p5_17,p5_18,p5_19,p5_20,p5_21,p5_22_1,p5_22_2,p5_22_3,p5_22_4,p5_22_5,p5_23,p5_24,p5_25_1,p5_25_2,p5_25_3,p5_25_4,p5_25_5,p5_26,p5_27,p5_28,p5_29,p5_30,p6_1_1,p6_1_2,p6_1_3,p6_1_4,p6_1_5,p6_2_1,p6_2_2,p6_2_3,p6_2_4,p6_2_5,p6_2_6,p6_2_7,p6_2_8,p6_2_9,p6_3,p6_4,p6_5,p6_6,p6_7,p6_8_1,p6_9_1,p6_10_1,p6_10a_1,p6_8_2,p6_9_2,p6_10_2,p6_10a_2,p6_8_3,p6_9_3,p6_10_3,p6_10a_3,p6_8_4,p6_9_4,p6_10_4,p6_10a_4,p6_8_5,p6_9_5,p6_10_5,p6_10a_5,p6_8_6,p6_9_6,p6_10_6,p6_10a_6,p6_8_7,p6_9_7,p6_10_7,p6_10a_7,p6_8_8,p6_11_1,p6_11_2,p6_11_3,p6_12_1,p6_12_2,p6_12_3,p6_12_4,p6_12_5,p6_12_6,p6_12_7,p6_12_8,p6_12_9,p6_13,p6_14,p6_15,p6_16,p6_17_1,p6_17_2,p6_17_3,p6_17_4,p6_17_5,p6_18,p6_19_1,p6_19_2,p6_19_3,p6_19_4,p6_19_5,p6_19_6,p6_19_9,edad,sexo,region,tloc,est_dis,upm_dis,fac_per
100041,2,1,1,1,5,3,6,3,1,,2,1750,1,2,2,2,1,2,2,6,1,1,3,5,1,1,2,1,2,2,2,1,,,,,,,2,1,1,3,1,1,1,1,2,2,2,1,1,2,0,1,0,0,0,0,0,0,0,1,2,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,2,2,2,2,,,,,,,,,,2,2,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,30,1,3,1,4,1,2611
100041,3,1,2,2,5,0,3,3,8,4,,,,,,,,,,,2,2,,,2,2,2,1,2,2,2,1,,,,,,,2,1,1,3,3,1,1,2,2,2,2,2,2,1,0,0,0,0,0,1,0,0,0,1,2,1,,,,2,,,,,2,,,,,1,1,4,1,2,2,,,,,2,,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,0,1,3,,,,,,,,,,,,,,,,,2,,2,2,2,2,2,,,,,,,,,,2,2,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,69,2,3,1,4,1,2998
100041,4,1,1,1,3,4,8,4,1,,2,5500,2,1,1,2,2,2,2,2,1,1,3,3,2,1,2,1,2,2,2,2,1,1,2,2,2,2,2,1,1,2,1,9,1,1,2,2,2,2,2,2,,,,,,,,,,2,1,,,,,1,1,20,1,2,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,2,,,,2,,,,,,,,,,,,,1,2,,1,,,2,,,,,,2,,,,,,,,,1,2,,2,2,1,2,2,1,0,0,0,0,0,0,0,0,2,2,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,43,2,3,1,4,1,2139
100041,5,1,1,1,3,2,7,3,1,,2,4300,2,2,1,2,2,2,2,1,1,1,3,3,2,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,3,1,1,1,1,2,2,2,2,1,2,1,0,0,0,0,0,0,0,0,2,1,,,,,1,1,88,1,2,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,2,,,,2,,,,,,,,,,,,,1,2,,2,,,2,,,,,,2,,,,,,,,,3,2,,2,2,2,2,2,,,,,,,,,,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,50,2,3,1,4,1,3509
100067,1,1,1,1,6,2,8,3,1,,2,99888,,,,,,,,4,1,2,,,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,1,2,1,3,1,1,1,2,2,2,2,2,2,,,,,,,,,,1,1,,,,,2,,,,,1,1,2,1,2,2,,,,,1,1,99,2,2,2,,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,4,,,1,1,2,2,2,2,2,,,,,,,,,9,2,,2,2,1,2,2,1,0,0,0,0,0,0,0,0,2,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,1,45,2,3,1,5,2,1357
100067,5,1,2,4,6,1,8,5,1,,2,2500,1,2,1,2,2,2,2,1,1,1,2,3,1,1,1,1,2,1,2,1,,,,,,,2,1,1,2,2,1,1,1,2,2,1,2,2,1,0,0,1,0,0,0,0,0,0,1,1,,,,,1,2,2,1,1,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,2,,,,2,,,,0,0,1,0,0,0,0,0,0,1,2,,7,,,2,,,,,,2,,,,,,,,,6,2,,2,2,2,2,2,,,,,,,,,,2,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,25,2,3,1,5,2,1833
100217,4,1,1,1,6,0,2,3,1,,4,300,1,2,2,2,1,2,2,6,1,1,2,1,1,2,2,2,2,2,2,1,,,,,,,2,1,1,2,3,9,1,2,1,2,2,2,2,2,1,0,0,0,0,0,0,0,0,2,2,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,2,2,2,2,,,,,,,,,,2,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,51,1,3,1,3,4,1366
100220,2,1,1,1,5,0,7,3,1,,2,7750,3,1,1,2,2,2,2,6,1,1,3,5,1,1,2,2,2,2,2,2,2,2,2,1,2,1,1,1,2,2,1,1,1,1,2,2,2,2,2,2,,,,,,,,,,1,1,,,,,1,1,5,1,2,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,2,,,,2,,,,,,,,,,,,,2,,,3,,,2,,,,,,1,2,2,2,2,1,2,4,,,2,,1,2,2,2,2,0,0,0,1,0,0,0,0,0,1,,,,,2,,,,2,,,,1,1,2,,2,,,,2,,,,1,1,1,2,2,,,,2,1,1,1,0,0,0,0,0,1,0,0,0,,,,2,,,,,,1,1,0,0,0,0,0,0,39,1,3,1,4,5,2284
100220,3,1,1,1,6,1,8,3,2,,2,99888,,,,,,,,1,1,2,,,1,2,2,2,2,1,2,1,,,,,,,2,1,1,3,1,1,1,1,2,2,2,2,2,2,,,,,,,,,,2,2,2,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,2,2,2,2,,,,,,,,,,2,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,32,1,3,1,4,5,1142
100220,4,1,2,3,6,0,8,1,1,,2,1800,2,1,1,2,2,2,2,1,1,1,3,2,2,2,2,1,1,2,2,1,,,,,,,1,1,1,3,3,1,1,1,2,2,2,1,2,1,1,0,0,0,0,0,0,0,0,1,1,,,,,1,1,5,1,2,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,2,,,,2,,,,,,,,,,,,,1,2,,88,,,2,,,,,,1,2,2,2,2,1,2,2,,,1,9,2,2,2,2,1,0,0,1,0,0,0,0,0,0,1,,,,,2,,,,2,,,,1,1,2,,2,,,,2,,,,2,,,,2,,,,1,2,1,1,1,0,0,0,0,0,0,0,0,,,,2,,,,,,2,,,,,,,,26,2,3,1,4,5,2527
100261,1,1,1,1,5,4,6,3,8,1,4,2000,1,2,2,2,1,2,2,6,1,2,,,2,2,1,2,2,1,2,1,,,,,,,2,1,1,3,1,1,1,1,2,1,2,2,2,1,1,0,1,0,0,0,0,0,0,2,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,2,2,2,2,,,,,,,,,,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,47,1,3,1,4,6,4060
100261,2,1,2,3,6,0,6,3,1,,2,6000,3,2,2,2,1,2,2,6,1,2,,,1,1,1,1,2,2,2,1,,,,,,,2,1,1,2,1,2,1,1,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,1,2,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,2,2,2,2,,,,,,,,,,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,26,1,3,1,4,6,1991
100261,3,1,1,1,5,5,6,2,1,,2,99888,,,,,,,,1,1,2,,,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,1,2,3,1,2,1,1,2,2,2,2,2,2,,,,,,,,,,2,1,,,,,1,1,15,1,1,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,2,,,,2,,,,0,0,0,1,0,0,0,0,0,1,2,,0,7,,2,,,,,,2,,,,,,,,,2,2,,1,2,2,2,2,1,0,0,1,0,0,0,0,0,2,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,43,1,3,1,4,6,2030
100261,5,1,3,5,5,0,6,3,8,1,4,500,1,2,2,2,1,2,2,6,1,2,,,2,2,2,2,2,1,2,1,,,,,,,2,2,2,2,2,1,1,2,2,2,2,2,2,2,,,,,,,,,,2,2,2,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,2,2,2,2,,,,,,,,,,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,32,2,3,1,4,6,1881
100283,1,1,2,3,3,2,8,5,1,,2,99888,,,,,,,,1,1,2,,,1,1,1,2,1,2,2,1,,,,,,,1,2,1,1,2,1,1,1,2,2,2,1,2,1,1,0,0,1,0,0,0,0,0,2,2,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,1,2,1,0,0,1,0,0,0,0,0,1,,,,,1,2,1,1,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,2,1,1,,,,,,,,,,1,,3,1,1,2,1,2,2,2,,,,,,,,52,1,3,1,4,7,1633
100283,2,1,1,1,3,3,8,5,6,4,,,,,,,,,,,1,1,3,3,1,2,2,2,2,2,2,1,,,,,,,1,1,1,2,1,1,2,2,2,2,2,1,2,1,0,0,1,0,0,0,0,0,0,2,1,,,,,2,,,,,1,2,88,2,2,2,,,,,2,,,,,2,,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,,,2,1,9,2,2,2,2,2,,,,,,,,,,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,60,1,3,1,4,7,1005
100283,3,1,1,1,4,0,3,3,1,,5,0,,,,,,,,6,1,1,2,5,1,2,2,2,1,2,2,1,,,,,,,2,1,1,3,1,1,1,2,2,2,2,2,2,1,0,0,0,0,0,0,0,1,0,1,1,,,,,2,,,,,1,2,4,1,2,2,,,,,2,,,,,2,,,,,2,,,,1,1,4,2,2,,,,,,,,,,,,,,,,4,,,1,1,2,2,2,2,2,,,,,,,,,2,2,,2,2,2,2,2,,,,,,,,,,1,,,,,1,2,2,,1,1,2,,2,,,,2,,,,1,1,2,,2,,,,2,,,,2,1,1,1,,,,,,,,,,1,,4,1,1,2,2,2,2,2,,,,,,,,63,2,3,1,4,7,2768
100283,5,1,1,1,6,0,8,4,1,,4,2000,3,2,2,2,1,2,2,6,1,2,,,2,1,2,1,2,1,2,2,1,1,2,2,2,2,1,1,1,2,1,1,2,2,2,2,2,2,2,1,1,0,0,0,0,0,1,0,0,1,2,2,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,2,2,1,2,1,0,0,0,0,0,0,0,0,2,2,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,30,1,3,1,4,7,1205
100298,4,1,1,1,5,2,7,3,6,4,,,,,,,,,,,2,2,,,1,2,2,2,1,2,2,1,,,,,,,2,1,1,3,1,1,1,1,2,2,2,2,2,1,0,0,0,1,0,0,0,0,0,2,1,,,,,1,1,26,2,1,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,2,,,,2,,,,0,1,0,0,0,1,0,0,0,2,,,,,,2,,,,,,,,,,,,,,,,2,,2,2,2,2,2,,,,,,,,,,2,2,1,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,67,1,3,1,5,8,3717
100320,1,1,1,1,5,4,8,5,1,,2,20000,3,1,1,2,2,2,2,2,1,1,3,3,2,1,1,1,2,1,2,1,,,,,,,2,1,1,9,1,1,2,1,2,2,2,2,2,1,0,0,0,0,1,0,0,0,0,2,1,,,,,1,1,10,2,2,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,2,,,,2,,,,,,,,,,,,,1,2,,,,,2,,,,,,2,,,,,,,,,2,2,,2,2,2,2,2,,,,,,,,,,1,,,,,2,,,,2,,,,1,1,2,,2,,,,2,,,,2,,,,2,,,,2,2,1,1,0,0,1,0,0,0,0,0,0,,,,1,1,2,2,2,2,2,,,,,,,,55,1,3,1,4,9,8399
100320,2,1,4,5,5,3,3,3,1,,2,7200,3,1,1,2,2,2,2,1,1,2,,,1,2,1,2,2,2,2,1,,,,,,,2,1,1,2,3,1,1,1,2,2,2,2,2,1,0,0,0,0,0,1,0,0,0,2,1,,,,,1,1,88,2,2,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,2,,,,2,,,,,,,,,,,,,2,,,,,,2,,,,,,2,,,,,,,,,7,2,,2,2,2,2,2,,,,,,,,,,2,1,,,,2,,,,2,,,,2,,,,2,,,,2,,,,1,1,2,,2,,,,2,2,1,1,,,,,,,,,,,,,2,,,,,,1,0,1,0,0,0,0,0,42,1,3,1,4,9,3270
100320,3,1,3,3,6,2,2,6,1,,4,0,,,,,,,,6,2,2,,,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,1,1,3,3,1,1,9,2,2,2,2,2,2,,,,,,,,,,2,2,2,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,,,,,,,,,,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,59,1,3,1,4,9,3360
100320,4,1,1,1,5,5,9,2,6,4,,,,,,,,,,,1,2,,,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,3,2,2,8,2,2,2,2,2,2,,,,,,,,,,2,1,,,,,2,,,,,1,1,1,1,2,2,,,,,2,,,,,2,,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,0,2,,2,,,,,,2,,,,,,,,,2,2,,2,2,2,2,2,,,,,,,,,,2,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,64,1,3,1,4,9,4135
100320,5,1,3,5,1,0,3,3,1,,2,950,1,1,1,2,2,2,2,1,1,1,1,2,1,2,2,2,2,2,2,1,,,,,,,2,1,1,2,2,1,1,1,2,2,1,2,1,1,0,0,1,0,0,0,0,0,0,1,1,,,,,1,1,3,2,1,2,,,,,2,,,,,1,1,6,1,1,2,,,,,2,,,,2,,,,2,,,,0,0,1,0,0,0,0,0,0,1,2,,3,,,1,1,1,2,2,2,2,,,,,,,,,1,2,,2,2,2,2,2,,,,,,,,,,2,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,30,2,3,1,4,9,3030
100340,1,1,1,1,5,1,9,2,1,,2,15000,3,1,1,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,1,,,,,,,2,2,1,2,1,1,1,1,2,2,2,2,2,2,,,,,,,,,,1,1,,,,,1,1,9,1,1,2,,,,,2,,,,,1,1,3,1,1,2,,,,,2,,,,2,,,,2,,,,0,0,0,0,1,0,0,0,0,1,2,,20,,,2,,,,,,1,1,1,1,2,2,2,5,,,1,9,2,2,2,2,2,,,,,,,,,,2,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,36,1,3,1,4,10,2566
100340,2,1,1,1,5,1,3,2,6,2,4,400,1,2,2,2,1,2,2,6,2,1,3,5,1,1,2,1,2,2,2,2,2,1,2,1,2,2,1,1,1,8,1,1,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,1,1,,,,,2,,,,,1,1,23,1,2,2,,,,,2,,,,,2,,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,0,1,3,2,,,,,,,,,,,,,,,,2,,2,2,2,2,2,,,,,,,,,,2,2,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,70,1,3,1,4,10,2139
100340,3,1,2,3,6,0,3,3,1,,2,2400,2,1,1,2,2,2,2,1,1,2,,,2,2,1,1,2,1,2,1,,,,,,,2,1,1,1,3,1,1,1,2,2,2,2,1,2,1,0,0,0,0,0,0,0,0,2,1,,,,,1,1,88,2,2,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,2,,,,2,,,,,,,,,,,,,2,,,,,,2,,,,,,2,,,,,,,,,4,2,,1,2,2,2,2,1,0,0,0,0,0,0,0,0,1,,,,,1,1,2,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,1,2,2,,,,,,,,,,1,,3,2,,,,,,2,,,,,,,,27,2,3,1,4,10,2840
100340,4,1,1,1,1,5,8,2,1,,4,14000,3,2,2,2,1,2,2,1,1,1,2,1,2,1,1,1,2,1,2,1,,,,,,,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,0,0,1,0,0,0,0,0,1,1,,,,,2,,,,,2,,,,,2,,,,,1,1,4,1,2,2,,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,0,1,3,2,,,,,,2,,,,,,,,,6,2,,2,1,1,1,2,0,0,1,0,0,0,0,0,0,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,27,1,3,1,4,10,2212
100340,5,1,4,3,1,1,3,3,3,4,,,,,,,,,,,1,2,,,2,1,2,2,2,1,2,1,,,,,,,2,2,1,3,1,1,1,1,2,2,2,2,1,2,1,0,0,0,0,0,0,0,0,1,2,2,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,2,2,2,2,,,,,,,,,,2,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,37,1,3,1,4,10,2566
100397,1,1,3,3,6,1,2,5,1,,2,1200,1,2,1,2,2,2,2,6,2,1,3,4,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,1,1,1,2,2,2,2,2,1,2,1,0,0,0,0,0,0,0,0,2,1,,,,,1,1,88,1,2,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,2,,,,2,,,,,,,,,,,,,2,,,4,,,2,,,,,,,,,,,,,,,,2,,2,2,2,1,2,0,1,0,0,0,0,0,0,0,2,2,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,32,2,3,1,3,11,2685
100397,3,1,3,1,5,2,6,3,1,,2,800,1,2,2,2,1,2,2,6,1,2,,,1,1,1,1,2,1,2,1,,,,,,,1,1,1,3,1,1,1,1,2,2,2,2,2,2,,,,,,,,,,1,2,2,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,2,2,2,2,2,,,,,,,,,,2,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,40,2,3,1,3,11,900
100397,4,1,1,2,5,2,8,4,1,,2,99888,,,,,,,,1,1,1,3,2,2,1,1,2,2,1,2,2,2,1,2,1,2,2,2,1,1,3,2,1,2,1,2,2,2,2,2,2,,,,,,,,,,1,1,,,,,1,1,5,1,2,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,2,,,,2,,,,,,,,,,,,,1,2,,30,,,2,,,,,,1,2,1,1,2,1,2,4,,,2,,2,2,2,2,1,0,0,0,1,0,0,0,0,0,1,,,,,1,1,2,,2,,,,2,,,,2,,,,2,,,,1,1,2,,2,,,,2,1,1,1,,,,,,,,,,88,,4,2,,,,,,3,,,,,,,,34,2,3,1,3,11,2685
100397,5,1,2,2,5,3,8,4,1,,2,8000,2,1,1,2,2,2,2,1,1,1,1,2,1,2,1,1,1,1,2,1,,,,,,,1,1,1,3,1,2,1,1,2,2,1,2,2,2,0,0,1,0,0,0,0,0,0,1,1,,,,,1,1,11,1,1,2,,,,,2,,,,,1,2,10,2,1,2,,,,,2,,,,2,,,,2,,,,0,0,1,0,0,0,0,0,0,1,2,,30,,,2,,,,,,1,1,1,2,1,1,2,16,,,2,,2,2,2,2,2,,,,,,,,,,1,,,,,1,1,2,,1,1,2,,1,1,2,,1,1,2,,2,,,,1,1,2,,2,,,,2,1,1,1,1,0,0,0,0,0,0,0,0,10,,4,1,1,1,1,1,1,2,,,,,,,,42,2,3,1,3,11,1801
100446,1,1,4,5,1,6,3,3,1,,5,2100,1,2,2,2,1,2,2,6,1,1,1,1,1,1,1,1,1,1,2,1,,,,,,,1,1,1,1,1,1,1,2,2,2,2,1,1,1,0,0,0,1,0,0,0,0,0,2,2,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,2,1,2,2,2,1,0,0,0,0,0,0,0,0,1,,,,,1,1,2,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,2,2,1,,,,,,,,,,1,,4,1,2,2,1,2,2,2,,,,,,,,20,1,3,1,3,12,3945
100446,2,1,3,3,3,1,3,1,1,,4,1500,1,2,2,2,1,2,2,6,2,1,3,3,1,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,1,1,1,1,2,1,2,2,2,2,1,0,0,0,0,0,0,0,0,2,2,2,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,1,2,2,2,1,0,0,0,0,0,0,0,0,2,2,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,25,1,3,1,3,12,2959
100446,3,1,3,3,6,3,2,6,1,,4,2000,1,2,2,2,1,2,2,6,1,2,,,2,1,2,1,2,1,2,1,,,,,,,2,1,1,2,1,1,1,2,2,1,2,2,2,1,0,0,1,0,0,0,1,0,0,1,2,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,2,1,2,2,0,0,0,0,0,0,1,0,0,2,2,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,1,37,1,3,1,3,12,3432
100446,4,1,2,2,5,0,2,5,1,,4,99888,,,,,,,,6,1,2,,,2,2,1,2,2,2,2,1,,,,,,,2,1,1,3,1,1,1,1,2,2,1,2,1,2,0,0,0,0,0,0,1,0,0,2,2,2,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,2,2,2,2,,,,,,,,,,1,,,,,1,2,2,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,1,1,1,,,,,,,,,,0,2,4,2,,,,,,2,,,,,,,,57,2,3,1,3,12,2051
100446,5,1,2,2,5,3,3,3,1,,4,2000,3,2,2,2,1,2,2,6,1,2,,,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,,,,,,,,,,2,2,2,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,2,2,2,2,,,,,,,,,,1,,,,,1,1,2,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,1,2,2,,,,,,,,,,88,,4,2,,,,,,3,,,,,,,,32,2,3,1,3,12,1864
100451,1,1,1,1,3,1,3,3,1,,2,5900,3,2,2,2,1,2,2,1,1,2,,,2,1,1,1,1,1,2,1,,,,,,,2,1,1,2,3,1,1,2,2,2,2,2,2,2,,,,,,,,,,2,1,,,,,2,,,,,1,1,3,1,2,2,,,,,2,,,,,2,,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,0,1,1,2,,,,,,2,,,,,,,,,4,2,,2,2,2,2,1,1,0,0,0,0,0,0,0,0,1,,,,,1,2,2,,2,,,,1,1,2,,2,,,,2,,,,2,,,,2,,,,2,1,1,1,0,1,0,0,0,0,0,0,0,2,,4,2,,,,,,1,1,0,0,0,1,0,0,60,1,3,1,3,13,977
